geo_id,fips,county,total_employed,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transport_utilities,information,finance_insurance_realestate,prof_scientific_waste,edu_health,arts_recreation,other,public_admin,year
0500000US06025,6025,"Imperial County, California",56573,3990,3733,3828,1835,5957,4539,891,2344,3515,13273,3756,2722,6190,2010
0500000US06029,6029,"Kern County, California",310764,48124,18675,15711,9392,36365,14899,3188,12916,27057,61275,24801,15830,22531,2010
0500000US06031,6031,"Kings County, California",52477,9245,1958,3859,1805,5009,1046,209,1542,4213,10233,4281,1750,7327,2010
0500000US06033,6033,"Lake County, California",,,,,,,,,,,,,,,2010
0500000US06037,6037,"Los Angeles County, California",4391268,24261,235752,473710,159909,468911,227934,188861,279308,545308,921140,436463,269174,160537,2010
0500000US06039,6039,"Madera County, California",54262,11933,2742,4447,1122,6193,2946,870,2561,2407,10971,2953,2114,3003,2010
0500000US06041,6041,"Marin County, California",119487,640,6769,6563,3006,12192,3051,3248,12374,22050,27193,11701,6654,4046,2010
0500000US06045,6045,"Mendocino County, California",,,,,,,,,,,,,,,2010
0500000US06047,6047,"Merced County, California",94048,11660,5109,10231,4241,12277,4421,1329,3193,5328,19278,7480,4604,4897,2010
0500000US06053,6053,"Monterey County, California",175878,26052,9987,8457,4334,21896,5566,2714,8078,16515,33312,17801,10135,11031,2010
0500000US06055,6055,"Napa County, California",62966,4341,3482,7629,2265,6491,1697,1204,3858,5752,12983,7471,2978,2815,2010
0500000US06057,6057,"Nevada County, California",42705,749,3651,2711,741,5659,2045,1041,3278,4083,9457,4502,2209,2579,2010
0500000US06059,6059,"Orange County, California",1414260,5759,81763,194612,55250,157885,47279,29325,126127,189056,261950,142182,75302,47770,2010
0500000US06061,6061,"Placer County, California",151654,726,11286,10868,3886,21120,8420,2908,13411,18506,31845,11222,6180,11276,2010
0500000US06065,6065,"Riverside County, California",854828,14996,68272,75925,30577,118193,46043,14982,46462,84225,171551,92612,45377,45613,2010
0500000US06067,6067,"Sacramento County, California",595578,3978,36186,35357,16876,70621,24799,12303,41920,65924,134284,52028,29908,71394,2010
0500000US06071,6071,"San Bernardino County, California",791365,7431,59904,82634,30002,100778,56472,11514,42668,67683,179358,70290,36043,46588,2010
0500000US06073,6073,"San Diego County, California",1348077,11966,81976,122534,35581,142231,52298,29014,90724,196020,282931,144594,73152,85056,2010
0500000US06075,6075,"San Francisco County, California",446665,1130,16023,29079,10024,42315,15012,17971,38414,89930,88869,54107,25468,18323,2010
0500000US06077,6077,"San Joaquin County, California",264858,12810,17438,27430,10822,28767,16781,5011,12825,25012,57784,23977,12201,14000,2010
0500000US06079,6079,"San Luis Obispo County, California",116949,4759,9382,7791,2074,15981,4301,3772,4372,13269,25458,13722,5053,7015,2010
0500000US06081,6081,"San Mateo County, California",362295,2788,21010,26993,9701,33553,20839,10566,29568,59578,79507,33464,20337,14391,2010
0500000US06083,6083,"Santa Barbara County, California",187202,18031,9717,15318,4821,18284,4649,4444,8259,21276,41292,21402,9932,9777,2010
0500000US06085,6085,"Santa Clara County, California",834009,5591,42199,156189,18133,88192,20789,30861,41459,153969,160641,57324,37362,21300,2010
0500000US06087,6087,"Santa Cruz County, California",117481,7667,8233,9514,3041,12295,3792,2254,4943,13842,28318,13793,5821,3968,2010
0500000US06089,6089,"Shasta County, California",64021,2130,4562,3837,1771,6237,3623,1306,4626,6214,18024,5330,3184,3177,2010
0500000US06095,6095,"Solano County, California",180913,3036,10186,17511,5070,18728,11855,3880,13646,14521,39419,20652,7121,15288,2010
